TIME,V,I,pce
1.94E-03,9.30E-01,1.43E-03,22.92931034
1.02E-01,9.30E-01,1.40E-03,22.44827586
2.02E-01,9.30E-01,1.38E-03,22.12758621
3.02E-01,9.30E-01,1.37E-03,21.96724138
4.02E-01,9.30E-01,1.36E-03,21.80689655
5.02E-01,9.30E-01,1.35E-03,21.64655172
6.02E-01,9.30E-01,1.34E-03,21.4862069
7.02E-01,9.30E-01,1.34E-03,21.4862069
8.02E-01,9.30E-01,1.33E-03,21.32586207
9.02E-01,9.30E-01,1.33E-03,21.32586207
1.00E+00,9.30E-01,1.32E-03,21.16551724
1.10E+00,9.30E-01,1.32E-03,21.16551724
1.20E+00,9.30E-01,1.32E-03,21.16551724
1.30E+00,9.30E-01,1.32E-03,21.16551724
1.40E+00,9.30E-01,1.32E-03,21.16551724
1.50E+00,9.30E-01,1.32E-03,21.16551724
1.60E+00,9.30E-01,1.32E-03,21.16551724
1.70E+00,9.30E-01,1.32E-03,21.16551724
1.80E+00,9.30E-01,1.31E-03,21.00517241
1.90E+00,9.30E-01,1.31E-03,21.00517241
2.00E+00,9.30E-01,1.31E-03,21.00517241
2.10E+00,9.30E-01,1.31E-03,21.00517241
2.20E+00,9.30E-01,1.31E-03,21.00517241
2.30E+00,9.30E-01,1.30E-03,20.84482759
2.40E+00,9.30E-01,1.30E-03,20.84482759
2.50E+00,9.30E-01,1.30E-03,20.84482759
2.60E+00,9.30E-01,1.30E-03,20.84482759
2.70E+00,9.30E-01,1.30E-03,20.84482759
2.80E+00,9.30E-01,1.30E-03,20.84482759
2.90E+00,9.30E-01,1.30E-03,20.84482759
3.00E+00,9.30E-01,1.30E-03,20.84482759
3.10E+00,9.30E-01,1.30E-03,20.84482759
3.20E+00,9.30E-01,1.30E-03,20.84482759
3.30E+00,9.30E-01,1.30E-03,20.84482759
3.40E+00,9.30E-01,1.30E-03,20.84482759
3.50E+00,9.30E-01,1.30E-03,20.84482759
3.60E+00,9.30E-01,1.30E-03,20.84482759
3.70E+00,9.30E-01,1.30E-03,20.84482759
3.80E+00,9.30E-01,1.30E-03,20.84482759
3.90E+00,9.30E-01,1.30E-03,20.84482759
4.00E+00,9.30E-01,1.30E-03,20.84482759
4.10E+00,9.30E-01,1.30E-03,20.84482759
4.20E+00,9.30E-01,1.30E-03,20.84482759
4.30E+00,9.30E-01,1.30E-03,20.84482759
4.40E+00,9.30E-01,1.30E-03,20.84482759
4.50E+00,9.30E-01,1.30E-03,20.84482759
4.60E+00,9.30E-01,1.30E-03,20.84482759
4.70E+00,9.30E-01,1.30E-03,20.84482759
4.80E+00,9.30E-01,1.30E-03,20.84482759
4.90E+00,9.30E-01,1.29E-03,20.68448276
5.00E+00,9.30E-01,1.29E-03,20.68448276
5.10E+00,9.30E-01,1.29E-03,20.68448276
5.20E+00,9.30E-01,1.29E-03,20.68448276
5.30E+00,9.30E-01,1.29E-03,20.68448276
5.40E+00,9.30E-01,1.29E-03,20.68448276
5.50E+00,9.30E-01,1.29E-03,20.68448276
5.60E+00,9.30E-01,1.29E-03,20.68448276
5.70E+00,9.30E-01,1.29E-03,20.68448276
5.80E+00,9.30E-01,1.29E-03,20.68448276
5.90E+00,9.30E-01,1.29E-03,20.68448276
6.00E+00,9.30E-01,1.29E-03,20.68448276
6.10E+00,9.30E-01,1.29E-03,20.68448276
6.20E+00,9.30E-01,1.29E-03,20.68448276
6.30E+00,9.30E-01,1.29E-03,20.68448276
6.40E+00,9.30E-01,1.29E-03,20.68448276
6.50E+00,9.30E-01,1.29E-03,20.68448276
6.60E+00,9.30E-01,1.29E-03,20.68448276
6.70E+00,9.30E-01,1.29E-03,20.68448276
6.80E+00,9.30E-01,1.29E-03,20.68448276
6.90E+00,9.30E-01,1.29E-03,20.68448276
7.00E+00,9.30E-01,1.29E-03,20.68448276
7.10E+00,9.30E-01,1.29E-03,20.68448276
7.20E+00,9.30E-01,1.29E-03,20.68448276
7.30E+00,9.30E-01,1.29E-03,20.68448276
7.40E+00,9.30E-01,1.29E-03,20.68448276
7.50E+00,9.30E-01,1.29E-03,20.68448276
7.60E+00,9.30E-01,1.29E-03,20.68448276
7.70E+00,9.30E-01,1.29E-03,20.68448276
7.80E+00,9.30E-01,1.29E-03,20.68448276
7.90E+00,9.30E-01,1.29E-03,20.68448276
8.00E+00,9.30E-01,1.29E-03,20.68448276
8.10E+00,9.30E-01,1.29E-03,20.68448276
8.20E+00,9.30E-01,1.29E-03,20.68448276
8.30E+00,9.30E-01,1.29E-03,20.68448276
8.40E+00,9.30E-01,1.29E-03,20.68448276
8.50E+00,9.30E-01,1.29E-03,20.68448276
8.60E+00,9.30E-01,1.29E-03,20.68448276
8.70E+00,9.30E-01,1.29E-03,20.68448276
8.80E+00,9.30E-01,1.29E-03,20.68448276
8.90E+00,9.30E-01,1.29E-03,20.68448276
9.00E+00,9.30E-01,1.29E-03,20.68448276
9.10E+00,9.30E-01,1.29E-03,20.68448276
9.20E+00,9.30E-01,1.29E-03,20.68448276
9.30E+00,9.30E-01,1.29E-03,20.68448276
9.40E+00,9.30E-01,1.29E-03,20.68448276
9.50E+00,9.30E-01,1.29E-03,20.68448276
9.60E+00,9.30E-01,1.29E-03,20.68448276
9.70E+00,9.30E-01,1.29E-03,20.68448276
9.80E+00,9.30E-01,1.29E-03,20.68448276
9.90E+00,9.30E-01,1.29E-03,20.68448276
1.00E+01,9.30E-01,1.30E-03,20.84482759
1.01E+01,9.30E-01,1.30E-03,20.84482759
1.02E+01,9.30E-01,1.30E-03,20.84482759
1.03E+01,9.30E-01,1.30E-03,20.84482759
1.04E+01,9.30E-01,1.30E-03,20.84482759
1.05E+01,9.30E-01,1.30E-03,20.84482759
1.06E+01,9.30E-01,1.30E-03,20.84482759
1.07E+01,9.30E-01,1.30E-03,20.84482759
1.08E+01,9.30E-01,1.30E-03,20.84482759
1.09E+01,9.30E-01,1.30E-03,20.84482759
1.10E+01,9.30E-01,1.30E-03,20.84482759
1.11E+01,9.30E-01,1.30E-03,20.84482759
1.12E+01,9.30E-01,1.30E-03,20.84482759
1.13E+01,9.30E-01,1.30E-03,20.84482759
1.14E+01,9.30E-01,1.30E-03,20.84482759
1.15E+01,9.30E-01,1.30E-03,20.84482759
1.16E+01,9.30E-01,1.30E-03,20.84482759
1.17E+01,9.30E-01,1.30E-03,20.84482759
1.18E+01,9.30E-01,1.30E-03,20.84482759
1.19E+01,9.30E-01,1.30E-03,20.84482759
1.20E+01,9.30E-01,1.30E-03,20.84482759
1.21E+01,9.30E-01,1.30E-03,20.84482759
1.22E+01,9.30E-01,1.30E-03,20.84482759
1.23E+01,9.30E-01,1.30E-03,20.84482759
1.24E+01,9.30E-01,1.30E-03,20.84482759
1.25E+01,9.30E-01,1.30E-03,20.84482759
1.26E+01,9.30E-01,1.29E-03,20.68448276
1.27E+01,9.30E-01,1.29E-03,20.68448276
1.28E+01,9.30E-01,1.29E-03,20.68448276
1.29E+01,9.30E-01,1.29E-03,20.68448276
1.30E+01,9.30E-01,1.29E-03,20.68448276
1.31E+01,9.30E-01,1.29E-03,20.68448276
1.32E+01,9.30E-01,1.29E-03,20.68448276
1.33E+01,9.30E-01,1.29E-03,20.68448276
1.34E+01,9.30E-01,1.29E-03,20.68448276
1.35E+01,9.30E-01,1.29E-03,20.68448276
1.36E+01,9.30E-01,1.29E-03,20.68448276
1.37E+01,9.30E-01,1.29E-03,20.68448276
1.38E+01,9.30E-01,1.29E-03,20.68448276
1.39E+01,9.30E-01,1.29E-03,20.68448276
1.40E+01,9.30E-01,1.29E-03,20.68448276
1.41E+01,9.30E-01,1.29E-03,20.68448276
1.42E+01,9.30E-01,1.29E-03,20.68448276
1.43E+01,9.30E-01,1.29E-03,20.68448276
1.44E+01,9.30E-01,1.29E-03,20.68448276
1.45E+01,9.30E-01,1.29E-03,20.68448276
1.46E+01,9.30E-01,1.29E-03,20.68448276
1.47E+01,9.30E-01,1.29E-03,20.68448276
1.48E+01,9.30E-01,1.29E-03,20.68448276
1.49E+01,9.30E-01,1.29E-03,20.68448276
1.50E+01,9.30E-01,1.29E-03,20.68448276
1.51E+01,9.30E-01,1.29E-03,20.68448276
1.52E+01,9.30E-01,1.29E-03,20.68448276
1.53E+01,9.30E-01,1.29E-03,20.68448276
1.54E+01,9.30E-01,1.29E-03,20.68448276
1.55E+01,9.30E-01,1.29E-03,20.68448276
1.56E+01,9.30E-01,1.29E-03,20.68448276
1.57E+01,9.30E-01,1.29E-03,20.68448276
1.58E+01,9.30E-01,1.29E-03,20.68448276
1.59E+01,9.30E-01,1.29E-03,20.68448276
1.60E+01,9.30E-01,1.29E-03,20.68448276
1.61E+01,9.30E-01,1.29E-03,20.68448276
1.62E+01,9.30E-01,1.29E-03,20.68448276
1.63E+01,9.30E-01,1.29E-03,20.68448276
1.64E+01,9.30E-01,1.29E-03,20.68448276
1.65E+01,9.30E-01,1.29E-03,20.68448276
1.66E+01,9.30E-01,1.29E-03,20.68448276
1.67E+01,9.30E-01,1.29E-03,20.68448276
1.68E+01,9.30E-01,1.29E-03,20.68448276
1.69E+01,9.30E-01,1.29E-03,20.68448276
1.70E+01,9.30E-01,1.29E-03,20.68448276
1.71E+01,9.30E-01,1.29E-03,20.68448276
1.72E+01,9.30E-01,1.29E-03,20.68448276
1.73E+01,9.30E-01,1.29E-03,20.68448276
1.74E+01,9.30E-01,1.29E-03,20.68448276
1.75E+01,9.30E-01,1.29E-03,20.68448276
1.76E+01,9.30E-01,1.29E-03,20.68448276
1.77E+01,9.30E-01,1.29E-03,20.68448276
1.78E+01,9.30E-01,1.29E-03,20.68448276
1.79E+01,9.30E-01,1.29E-03,20.68448276
1.80E+01,9.30E-01,1.29E-03,20.68448276
1.81E+01,9.30E-01,1.29E-03,20.68448276
1.82E+01,9.30E-01,1.29E-03,20.68448276
1.83E+01,9.30E-01,1.29E-03,20.68448276
1.84E+01,9.30E-01,1.29E-03,20.68448276
1.85E+01,9.30E-01,1.29E-03,20.68448276
1.86E+01,9.30E-01,1.29E-03,20.68448276
1.87E+01,9.30E-01,1.29E-03,20.68448276
1.88E+01,9.30E-01,1.29E-03,20.68448276
1.89E+01,9.30E-01,1.29E-03,20.68448276
1.90E+01,9.30E-01,1.29E-03,20.68448276
1.91E+01,9.30E-01,1.29E-03,20.68448276
1.92E+01,9.30E-01,1.29E-03,20.68448276
1.93E+01,9.30E-01,1.29E-03,20.68448276
1.94E+01,9.30E-01,1.29E-03,20.68448276
1.95E+01,9.30E-01,1.29E-03,20.68448276
1.96E+01,9.30E-01,1.29E-03,20.68448276
1.97E+01,9.30E-01,1.29E-03,20.68448276
1.98E+01,9.30E-01,1.29E-03,20.68448276
1.99E+01,9.30E-01,1.29E-03,20.68448276
2.00E+01,9.30E-01,1.29E-03,20.68448276
2.01E+01,9.30E-01,1.29E-03,20.68448276
2.02E+01,9.30E-01,1.29E-03,20.68448276
2.03E+01,9.30E-01,1.29E-03,20.68448276
2.04E+01,9.30E-01,1.29E-03,20.68448276
2.05E+01,9.30E-01,1.29E-03,20.68448276
2.06E+01,9.30E-01,1.29E-03,20.68448276
2.07E+01,9.30E-01,1.29E-03,20.68448276
2.08E+01,9.30E-01,1.29E-03,20.68448276
2.09E+01,9.30E-01,1.29E-03,20.68448276
2.10E+01,9.30E-01,1.29E-03,20.68448276
2.11E+01,9.30E-01,1.30E-03,20.84482759
2.12E+01,9.30E-01,1.30E-03,20.84482759
2.13E+01,9.30E-01,1.30E-03,20.84482759
2.14E+01,9.30E-01,1.30E-03,20.84482759
2.15E+01,9.30E-01,1.29E-03,20.68448276
2.16E+01,9.30E-01,1.29E-03,20.68448276
2.17E+01,9.30E-01,1.29E-03,20.68448276
2.18E+01,9.30E-01,1.29E-03,20.68448276
2.19E+01,9.30E-01,1.29E-03,20.68448276
2.20E+01,9.30E-01,1.29E-03,20.68448276
2.21E+01,9.30E-01,1.29E-03,20.68448276
2.22E+01,9.30E-01,1.29E-03,20.68448276
2.23E+01,9.30E-01,1.30E-03,20.84482759
2.24E+01,9.30E-01,1.30E-03,20.84482759
2.25E+01,9.30E-01,1.30E-03,20.84482759
2.26E+01,9.30E-01,1.29E-03,20.68448276
2.27E+01,9.30E-01,1.29E-03,20.68448276
2.28E+01,9.30E-01,1.29E-03,20.68448276
2.29E+01,9.30E-01,1.29E-03,20.68448276
2.30E+01,9.30E-01,1.29E-03,20.68448276
2.31E+01,9.30E-01,1.29E-03,20.68448276
2.32E+01,9.30E-01,1.29E-03,20.68448276
2.33E+01,9.30E-01,1.29E-03,20.68448276
2.34E+01,9.30E-01,1.29E-03,20.68448276
2.35E+01,9.30E-01,1.29E-03,20.68448276
2.36E+01,9.30E-01,1.29E-03,20.68448276
2.37E+01,9.30E-01,1.29E-03,20.68448276
2.38E+01,9.30E-01,1.29E-03,20.68448276
2.39E+01,9.30E-01,1.29E-03,20.68448276
2.40E+01,9.30E-01,1.29E-03,20.68448276
2.41E+01,9.30E-01,1.29E-03,20.68448276
2.42E+01,9.30E-01,1.30E-03,20.84482759
2.43E+01,9.30E-01,1.30E-03,20.84482759
2.44E+01,9.30E-01,1.30E-03,20.84482759
2.45E+01,9.30E-01,1.30E-03,20.84482759
2.46E+01,9.30E-01,1.30E-03,20.84482759
2.47E+01,9.30E-01,1.30E-03,20.84482759
2.48E+01,9.30E-01,1.30E-03,20.84482759
2.49E+01,9.30E-01,1.30E-03,20.84482759
2.50E+01,9.30E-01,1.30E-03,20.84482759
2.51E+01,9.30E-01,1.30E-03,20.84482759
2.52E+01,9.30E-01,1.30E-03,20.84482759
2.53E+01,9.30E-01,1.30E-03,20.84482759
2.54E+01,9.30E-01,1.30E-03,20.84482759
2.55E+01,9.30E-01,1.30E-03,20.84482759
2.56E+01,9.30E-01,1.30E-03,20.84482759
2.57E+01,9.30E-01,1.30E-03,20.84482759
2.58E+01,9.30E-01,1.30E-03,20.84482759
2.59E+01,9.30E-01,1.30E-03,20.84482759
2.60E+01,9.30E-01,1.30E-03,20.84482759
2.61E+01,9.30E-01,1.30E-03,20.84482759
2.62E+01,9.30E-01,1.30E-03,20.84482759
2.63E+01,9.30E-01,1.30E-03,20.84482759
2.64E+01,9.30E-01,1.30E-03,20.84482759
2.65E+01,9.30E-01,1.30E-03,20.84482759
2.66E+01,9.30E-01,1.30E-03,20.84482759
2.67E+01,9.30E-01,1.30E-03,20.84482759
2.68E+01,9.30E-01,1.30E-03,20.84482759
2.69E+01,9.30E-01,1.30E-03,20.84482759
2.70E+01,9.30E-01,1.30E-03,20.84482759
2.71E+01,9.30E-01,1.30E-03,20.84482759
2.72E+01,9.30E-01,1.30E-03,20.84482759
2.73E+01,9.30E-01,1.30E-03,20.84482759
2.74E+01,9.30E-01,1.30E-03,20.84482759
2.75E+01,9.30E-01,1.30E-03,20.84482759
2.76E+01,9.30E-01,1.30E-03,20.84482759
2.77E+01,9.30E-01,1.30E-03,20.84482759
2.78E+01,9.30E-01,1.30E-03,20.84482759
2.79E+01,9.30E-01,1.30E-03,20.84482759
2.80E+01,9.30E-01,1.30E-03,20.84482759
2.81E+01,9.30E-01,1.30E-03,20.84482759
2.82E+01,9.30E-01,1.30E-03,20.84482759
2.83E+01,9.30E-01,1.30E-03,20.84482759
2.84E+01,9.30E-01,1.30E-03,20.84482759
2.85E+01,9.30E-01,1.30E-03,20.84482759
2.86E+01,9.30E-01,1.30E-03,20.84482759
2.87E+01,9.30E-01,1.30E-03,20.84482759
2.88E+01,9.30E-01,1.30E-03,20.84482759
2.89E+01,9.30E-01,1.30E-03,20.84482759
2.90E+01,9.30E-01,1.30E-03,20.84482759
2.91E+01,9.30E-01,1.30E-03,20.84482759
2.92E+01,9.30E-01,1.30E-03,20.84482759
2.93E+01,9.30E-01,1.30E-03,20.84482759
2.94E+01,9.30E-01,1.30E-03,20.84482759
2.95E+01,9.30E-01,1.30E-03,20.84482759
2.96E+01,9.30E-01,1.30E-03,20.84482759
2.97E+01,9.30E-01,1.30E-03,20.84482759
2.98E+01,9.30E-01,1.30E-03,20.84482759
2.99E+01,9.30E-01,1.30E-03,20.84482759
3.00E+01,9.30E-01,1.30E-03,20.84482759
3.01E+01,9.30E-01,1.30E-03,20.84482759
3.02E+01,9.30E-01,1.30E-03,20.84482759
3.03E+01,9.30E-01,1.30E-03,20.84482759
3.04E+01,9.30E-01,1.30E-03,20.84482759
3.05E+01,9.30E-01,1.30E-03,20.84482759
3.06E+01,9.30E-01,1.30E-03,20.84482759
3.07E+01,9.30E-01,1.30E-03,20.84482759
3.08E+01,9.30E-01,1.30E-03,20.84482759
3.09E+01,9.30E-01,1.30E-03,20.84482759
3.10E+01,9.30E-01,1.30E-03,20.84482759
3.11E+01,9.30E-01,1.30E-03,20.84482759
3.12E+01,9.30E-01,1.30E-03,20.84482759
3.13E+01,9.30E-01,1.30E-03,20.84482759
3.14E+01,9.30E-01,1.30E-03,20.84482759
3.15E+01,9.30E-01,1.30E-03,20.84482759
3.16E+01,9.30E-01,1.30E-03,20.84482759
3.17E+01,9.30E-01,1.30E-03,20.84482759
3.18E+01,9.30E-01,1.30E-03,20.84482759
3.19E+01,9.30E-01,1.30E-03,20.84482759
3.20E+01,9.30E-01,1.30E-03,20.84482759
3.21E+01,9.30E-01,1.30E-03,20.84482759
3.22E+01,9.30E-01,1.30E-03,20.84482759
3.23E+01,9.30E-01,1.30E-03,20.84482759
3.24E+01,9.30E-01,1.30E-03,20.84482759
3.25E+01,9.30E-01,1.30E-03,20.84482759
3.26E+01,9.30E-01,1.30E-03,20.84482759
3.27E+01,9.30E-01,1.30E-03,20.84482759
3.28E+01,9.30E-01,1.30E-03,20.84482759
3.29E+01,9.30E-01,1.30E-03,20.84482759
3.30E+01,9.30E-01,1.30E-03,20.84482759
3.31E+01,9.30E-01,1.30E-03,20.84482759
3.32E+01,9.30E-01,1.30E-03,20.84482759
3.33E+01,9.30E-01,1.30E-03,20.84482759
3.34E+01,9.30E-01,1.30E-03,20.84482759
3.35E+01,9.30E-01,1.30E-03,20.84482759
3.36E+01,9.30E-01,1.30E-03,20.84482759
3.37E+01,9.30E-01,1.30E-03,20.84482759
3.38E+01,9.30E-01,1.30E-03,20.84482759
3.39E+01,9.30E-01,1.30E-03,20.84482759
3.40E+01,9.30E-01,1.30E-03,20.84482759
3.41E+01,9.30E-01,1.30E-03,20.84482759
3.42E+01,9.30E-01,1.30E-03,20.84482759
3.43E+01,9.30E-01,1.30E-03,20.84482759
3.44E+01,9.30E-01,1.30E-03,20.84482759
3.45E+01,9.30E-01,1.30E-03,20.84482759
3.46E+01,9.30E-01,1.30E-03,20.84482759
3.47E+01,9.30E-01,1.30E-03,20.84482759
3.48E+01,9.30E-01,1.29E-03,20.68448276
3.49E+01,9.30E-01,1.29E-03,20.68448276
3.50E+01,9.30E-01,1.29E-03,20.68448276
3.51E+01,9.30E-01,1.29E-03,20.68448276
3.52E+01,9.30E-01,1.29E-03,20.68448276
3.53E+01,9.30E-01,1.29E-03,20.68448276
3.54E+01,9.30E-01,1.29E-03,20.68448276
3.55E+01,9.30E-01,1.29E-03,20.68448276
3.56E+01,9.30E-01,1.29E-03,20.68448276
3.57E+01,9.30E-01,1.29E-03,20.68448276
3.58E+01,9.30E-01,1.29E-03,20.68448276
3.59E+01,9.30E-01,1.29E-03,20.68448276
3.60E+01,9.30E-01,1.29E-03,20.68448276
3.61E+01,9.30E-01,1.29E-03,20.68448276
3.62E+01,9.30E-01,1.29E-03,20.68448276
3.63E+01,9.30E-01,1.29E-03,20.68448276
3.64E+01,9.30E-01,1.29E-03,20.68448276
3.65E+01,9.30E-01,1.29E-03,20.68448276
3.66E+01,9.30E-01,1.29E-03,20.68448276
3.67E+01,9.30E-01,1.29E-03,20.68448276
3.68E+01,9.30E-01,1.29E-03,20.68448276
3.69E+01,9.30E-01,1.29E-03,20.68448276
3.70E+01,9.30E-01,1.29E-03,20.68448276
3.71E+01,9.30E-01,1.29E-03,20.68448276
3.72E+01,9.30E-01,1.29E-03,20.68448276
3.73E+01,9.30E-01,1.29E-03,20.68448276
3.74E+01,9.30E-01,1.29E-03,20.68448276
3.75E+01,9.30E-01,1.29E-03,20.68448276
3.76E+01,9.30E-01,1.29E-03,20.68448276
3.77E+01,9.30E-01,1.29E-03,20.68448276
3.78E+01,9.30E-01,1.29E-03,20.68448276
3.79E+01,9.30E-01,1.29E-03,20.68448276
3.80E+01,9.30E-01,1.29E-03,20.68448276
3.81E+01,9.30E-01,1.29E-03,20.68448276
3.82E+01,9.30E-01,1.29E-03,20.68448276
3.83E+01,9.30E-01,1.29E-03,20.68448276
3.84E+01,9.30E-01,1.29E-03,20.68448276
3.85E+01,9.30E-01,1.29E-03,20.68448276
3.86E+01,9.30E-01,1.29E-03,20.68448276
3.87E+01,9.30E-01,1.29E-03,20.68448276
3.88E+01,9.30E-01,1.29E-03,20.68448276
3.89E+01,9.30E-01,1.29E-03,20.68448276
3.90E+01,9.30E-01,1.29E-03,20.68448276
3.91E+01,9.30E-01,1.29E-03,20.68448276
3.92E+01,9.30E-01,1.29E-03,20.68448276
3.93E+01,9.30E-01,1.30E-03,20.84482759
3.94E+01,9.30E-01,1.29E-03,20.68448276
3.95E+01,9.30E-01,1.29E-03,20.68448276
3.96E+01,9.30E-01,1.29E-03,20.68448276
3.97E+01,9.30E-01,1.30E-03,20.84482759
